case_id,overall,decision,problem_fit,resolution_helpfulness,context_awareness,tone_empathy,automation_readiness,auto_issue_types
case_01,51,fail,40,40,80,60,40,generic_answer、missing_clarification、no_lookup、push_to_user
case_02,56,fail,60,40,80,40,60,generic_answer、push_to_user
case_03,35,fail,40,20,40,40,40,generic_answer、missing_clarification、no_lookup、push_to_user
case_04,67,needs_review,80,40,80,80,60,push_to_user
case_05,51,fail,40,60,40,80,40,missing_clarification、no_lookup
case_06,55,fail,60,40,60,60,60,generic_answer、push_to_user
case_07,69,needs_review,60,80,80,40,80,generic_answer、weak_empathy
case_08,64,fail,80,40,80,60,60,push_to_user
case_09,43,fail,40,20,80,40,40,generic_answer、missing_clarification、no_lookup、push_to_user
case_10,72,needs_review,80,60,80,60,80,
case_11,64,fail,80,40,80,60,60,push_to_user
case_12,61,fail,80,40,80,40,60,push_to_user
case_13,67,needs_review,80,40,80,60,80,
case_14,63,fail,80,40,60,80,60,
case_15,61,fail,80,40,80,60,40,missing_clarification
case_16,64,fail,80,40,80,60,60,push_to_user
case_17,77,needs_review,80,80,80,60,80,
case_18,43,fail,40,20,80,60,20,missing_clarification、no_lookup、push_to_user
case_19,54,fail,60,20,80,60,60,generic_answer、missing_clarification、no_lookup
case_20,64,fail,60,60,80,80,40,missing_clarification、no_lookup、push_to_user
